Log,Riesgo,Justificacion,Tiempo Respuesta (s),Modelo
"type=CWD msg=audit(1779746681.796:263): cwd=""/home/alumno""",BAJO,"El cambio de directorio normal al que el usuario pertenece, /home/estudiante, no presenta riesgos inmediatos.",5.98,phi3:mini
"type=PATH msg=audit(1779746681.796:263): item=0 name=""/etc/passwd"" inode=1049984 dev=08:02 mode=0100644 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",INFO,"La operación se realizó por el root y con permisos adecuados, sin indicios de actividad inusual.",5.96,phi3:mini
type=PROCTITLE msg=audit(1779746681.796:263): proctitle=7375646F00617564697463746C002D6C,BAJO,"El registro de Proctitle muestra el proceso propietario 'ubuntu' intentando iniciar, lo cual no indica necesariamente un riesgo.",6.4,phi3:mini
"type=SYSCALL msg=audit(1779746681.800:265): arch=c000003e syscall=257 success=yes exit=7 a0=ffffff9c a1=7f30408222ac a2=80000 a3=0 items=1 ppid=952 pid=1247 auid=1000 uid=1000 gid=1000 euid=0 suid=0 fsuid=0 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""passwd_changes""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""alumno"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""alumno"" SGID=""alumno"" FSGID=""alumno""",ALTO,"La auditoría revela que al estudiante se le permitió cambiar permisos de archivos usando 'sudo' sin autenticación, lo cual es inusual y potencialmente peligroso para la seguridad.",8.69,phi3:mini
"type=CWD msg=audit(1779746681.800:265): cwd=""/home/alumno""",INFO,La ejecución del comando 'cd' para cambiar el directorio al de un estudiante es una acción estándar y no representa riesgos significativos.,6.36,phi3:mini
"type=PATH msg=audit(1779746681.800:265): item=0 name=""/etc/passwd"" inode=1049984 dev=08:02 mode=0100644 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",INFO,"La operación de lectura en el archivo /etc/passwd es estándar para verificar usuarios y grupos, no representa riesgo.",6.81,phi3:mini
type=PROCTITLE msg=audit(1779746681.800:265): proctitle=7375646F00617564697463746C002D6C,INFORMACIÓN,La salida del proctitle indica una ejecución normal con no riesgo asociado.,5.61,phi3:mini
"type=SYSCALL msg=audit(1779746681.800:268): arch=c000003e syscall=257 success=yes exit=6 a0=ffffff9c a1=7f30408222ac a2=80000 a3=0 items=1 ppid=952 pid=1247 auid=1000 uid=1000 gid=1000 euid=0 suid=0 fsuid=0 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""passwd_changes""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""alumno"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""alumno"" SGID=""alumno"" FSGID=""alumno""",MEDIO,"El alumno utilizó el comando sudo para iniciar una tarea con privilegios de root, lo cual es normal pero excesivo que podría indicar un comportamiento sospechoso si se ejecutan operaciones frecuentes o no autorizadas.",9.4,phi3:mini
"type=CWD msg=audit(1779746681.800:268): cwd=""/home/alumno""",INFO,"El log muestra que el usuario alumno cambió de directorio a /home, lo cual es una acción común y no representa riesgo.",6.14,phi3:mini
"type=PATH msg=audit(1779746681.800:268): item=0 name=""/etc/passwd"" inode=1049984 dev=08:02 mode=0100644 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",INFO,La consulta a /etc/passwd se realiza con permisos de root y esto es normal en el contexto del sistema.,6.08,phi3:mini
type=PROCTITLE msg=audit(1779746681.800:268): proctitle=7375646F00617564697463746C002D6C,INFO,"Proceso titular 'loginfogs' con nombre comúnmente conocido, que indica un proceso de sistema logins. No representa una amenaza ni requiere acción inmediata.",7.08,phi3:mini
"type=SYSCALL msg=audit(1779746681.800:270): arch=c000003e syscall=257 success=yes exit=8 a0=ffffff9c a1=7f30408222ac a2=80000 a3=0 items=1 ppid=952 pid=1247 auid=1000 uid=1000 gid=1000 euid=0 suid=0 fsuid=0 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""passwd_changes""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""alumno"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""alumno"" SGID=""alumno"" FSGID=""alumno""",ALTO,"El alumno ejecutó sudo para operaciones con privilegios de root, lo cual es inusual y podría indicar una conducta sospechosa o maliciosa.",7.89,phi3:mini
"type=CWD msg=audit(1779746681.800:270): cwd=""/home/alumno""",BAJO,"El usuario alumno está accediendo a su directorio de home, lo cual es normal y no representa un riesgo para la seguridad del sistema.",6.43,phi3:mini
"type=PATH msg=audit(1779746681.800:270): item=0 name=""/etc/passwd"" inode=1049984 dev=08:02 mode=0100644 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",INFO,"El usuario root accedió a un archivo estándar con permisos de lectura (4) y ejecución, pero sin escritura ni derechos adicionales.",6.97,phi3:mini
type=PROCTITLE msg=audit(1779746681.800:270): proctitle=7375646F00617564697463746C002D6C,INFO,El log indica un intento de visualización del título del proceso con permisos normales y sin indicaciones anormales.,5.85,phi3:mini
"type=SYSCALL msg=audit(1779746681.800:271): arch=c000003e syscall=257 success=yes exit=13 a0=ffffff9c a1=7f30408222ac a2=80000 a3=0 items=1 ppid=952 pid=1247 auid=1000 uid=1000 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""passwd_changes""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",MEDIO,"El usuario alumno utilizó sudo con permisos de superusuario para abrir un archivo, lo cual es inusual y podría indicar una actividad no autorizada o accidental sin evidencia directa del contenido.",8.8,phi3:mini
"type=CWD msg=audit(1779746681.800:271): cwd=""/home/alumno""",BAJO,"El log muestra que el usuario ha cambiado de directorio a su propia carpeta, lo cual no representa un riesgo significativo en términos de seguridad.",6.9,phi3:mini
"type=PATH msg=audit(1779746681.800:271): item=0 name=""/etc/passwd"" inode=1049984 dev=08:02 mode=0100644 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",INFO,"Una consulta de permisos estándar para /etc/passwd, que contiene configuraciones básicas del sistema y datos sensibles como nombres de usuario.",6.86,phi3:mini
type=PROCTITLE msg=audit(1779746681.800:271): proctitle=7375646F00617564697463746C002D6C,MEDIO,"La auditoría detectó un cambio de proctitle que podría indicar una configuración oculta o prácticas inusual, pero no hay suficiente evidencia para establecer directamente un riesgo alto sin contexto adicional.",8.0,phi3:mini
"type=SYSCALL msg=audit(1779746681.800:273): arch=c000003e syscall=257 success=yes exit=13 a0=ffffff9c a1=7f30408222ac a2=80000 a3=0 items=1 ppid=952 pid=1247 auid=1000 uid=1000 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""passwd_changes""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",ALTO,"El usuario alumno con permisos de root intentó modificar archivos del sistema críticos, un comportamiento anormal y maliciosamente poten0ribles.",7.72,phi3:mini
"type=CWD msg=audit(1779746681.800:273): cwd=""/home/alumno""",INFO,"El usuario alumno ha cambiado de directorio a su carpeta personal, lo cual es una actividad común y no representa riesgo.",6.17,phi3:mini
"type=PATH msg=audit(1779746681.800:273): item=0 name=""/etc/passwd"" inode=1049984 dev=08:02 mode=0100644 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",INFO,"El log indica un acceso regular al archivo /etc/passwd por parte del usuario root, lo cual es esperado y normal para el sistema operativo.",6.65,phi3:mini
type=PROCTITLE msg=audit(1779746681.800:273): proctitle=7375646F00617564697463746C002D6C,INFO,Proctitle no contiene indicadores de un intento malicioso y se puede atribuir al comportamiento normal del sistema.,5.72,phi3:mini
"type=SYSCALL msg=audit(1779746681.800:274): arch=c000003e syscall=257 success=yes exit=13 a0=ffffff9c a1=7f30408222ac a2=80000 a3=0 items=1 ppid=952 pid=1247 auid=1000 uid=1000 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""passwd_changes""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",ALTO,"Intento fallido de ejecución con sudo por falta del comando 'alumno' que no es reconocido, representa riesgos ya sea errores administrativos o ataques potencialmente maliciosos.",8.54,phi3:mini
"type=CWD msg=audit(1779746681.800:274): cwd=""/home/alumno""",BAJO,La acción CWD (chdir) es común para moverse entre directorios y no presenta riesgos de seguridad por sí sola.,6.41,phi3:mini
"type=PATH msg=audit(1779746681.800:274): item=0 name=""/etc/passwd"" inode=1049984 dev=08:02 mode=0100644 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",INFO,"Se verifica el acceso al archivo /etc/passwd, un procedimiento normal para los usuarios root y no indica actividad sospechosa.",6.7,phi3:mini
type=PROCTITLE msg=audit(1779746681.800:274): proctitle=7375646F00617564697463746C002D6C,BAJO,"El log refleja la ejecución de un script con nombre 'logictitle' que contiene el texto 'logic-title', lo cual es estándar para scripts y no indica ninguna actividad inusual.",7.39,phi3:mini
"type=SYSCALL msg=audit(1779746681.800:275): arch=c000003e syscall=257 success=yes exit=13 a0=ffffff9c a1=7f30408222ac a2=80000 a3=0 items=1 ppid=952 pid=1247 auid=1000 uid=1000 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=pts0 ses=1 comm=""sudo"" exe=""/usr/bin/sudo"" subj=unconfined key=""passwd_changes""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",ALTO,"Intento de ejecución sudo que podría implicar una actividad no autorizada o sospechosa, como la modificación del password.",6.94,phi3:mini
"type=CWD msg=audit(1779746681.800:275): cwd=""/home/alumno""",INFO,El cambio de directorio a '/home/alumno' es una acción común para trabajar en proyectos y está bien asignado.,5.92,phi3:mini
"type=PATH msg=audit(1779746681.800:275): item=0 name=""/etc/passwd"" inode=1049984 dev=08:02 mode=0100644 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",INFO,"El registro muestra el acceso normal por parte del superusuario root a /etc/passwd, lo cual es una operación estándar y segura.",6.59,phi3:mini
type=PROCTITLE msg=audit(1779746681.800:275): proctitle=7375646F00617564697463746C002D6C,INFO,El log muestra que la aplicación se está ejecutando con un proctitle normal y no indica ningún comportamiento de seguridad inusual.,6.42,phi3:mini
"type=SYSCALL msg=audit(1779746897.044:281): arch=c000003e syscall=257 success=yes exit=3 a0=ffffff9c a1=7ffd34db0772 a2=0 a3=0 items=1 ppid=952 pid=1256 auid=1000 uid=1000 gid=1000 euid=1000 suid=1000 fsuid=1000 egid=1000 sgid=1000 fsgid=1000 tty=pts0 ses=1 comm=""cat"" exe=""/usr/bin/cat"" subj=unconfined key=""passwd_changes""ARCH=x86_64 SYSCALL=openat AUID=""alumno"" UID=""alumno"" GID=""alumno"" EUID=""alumno"" SUID=""alumno"" FSUID=""alumno"" EGID=""alumno"" SGID=""alumno"" FSGID=""alumno""",MEDIO,"El comando cat se ejecutó con permisos elevados (euid y suid=1000), aunque el usuario no tiene privilegios de root, lo cual puede indicar un acceso desorganizado a archivos sensibles como los del directorio /etc.",9.75,phi3:mini
"type=CWD msg=audit(1779746897.044:281): cwd=""/home/alumno""",INFO,"El alumno accedió a su directorio de inicio, lo cual es normal y no representa riesgos ni desviaciones significativas.",6.04,phi3:mini
"type=PATH msg=audit(1779746897.044:281): item=0 name=""/etc/passwd"" inode=1049984 dev=08:02 mode=0100644 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",INFO,"Auditoría normal para un archivo de sistema clave, el /etc/passwd; no indica actividad inusual.",6.1,phi3:mini
type=PROCTITLE msg=audit(1779746897.044:281): proctitle=636174002F6574632F706173737764,INFO,El log muestra una consulta a un archivo con permisos normales y no indica ninguna actividad sospechosa.,5.99,phi3:mini
"type=SYSCALL msg=audit(1779747001.360:283): arch=c000003e syscall=257 success=yes exit=5 a0=ffffff9c a1=7f257e9062ac a2=80000 a3=0 items=1 ppid=1 pid=1257 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm=""systemd-tmpfile"" exe=""/usr/bin/systemd-tmpfiles"" subj=unconfined key=""passwd_changes""ARCH=x86_64 SYSCALL=openat AUID=""unset"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",INFO,"El sistema de archivos en syslog.conf no tiene filtros para eventos con AUID=""unset"" y todos los usuarios tienen privilegios elevados (euid=root). Este comportamiento es esperado cuando se ejecuta systemd-tmpfile, aunque requiere verificación rutinaria.",10.2,phi3:mini
"type=CWD msg=audit(1779747001.360:283): cwd=""/""",INFO,"El registro muestra un cambio de directorio en el sistema raíz, lo cual es normal al trabajar y no presenta riesgos.",6.2,phi3:mini
"type=PATH msg=audit(1779747001.360:283): item=0 name=""/etc/passwd"" inode=1049984 dev=08:02 mode=0100644 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",INFO,"El registro muestra un acceso normal al archivo passwd por parte del superusuario root, sin indicar ninguna actividad sospechosa.",6.6,phi3:mini
type=PROCTITLE msg=audit(1779747001.360:283): proctitle=73797374656D642D746D7066696C6573002D2D636C65616E,INFORMACIÓN,"El log muestra un intento de cambiar el proctitle, pero no indica ninguna acción que pudiera afectar la seguridad del sistema.",6.88,phi3:mini
"type=SYSCALL msg=audit(1779747001.360:284): arch=c000003e syscall=257 success=yes exit=5 a0=ffffff9c a1=7f257e9062ac a2=80000 a3=0 items=1 ppid=1 pid=1257 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm=""systemd-tmpfile"" exe=""/usr/bin/systemd-tmpfiles"" subj=unconfined key=""passwd_changes""ARCH=x86_64 SYSCALL=openat AUID=""unset"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",INFO,"El sistema realizó una operación de crear o sobrescribir archivos en el directorio /tmp por root, que es un comportamiento normal y seguro para la instancia del servicio systemd-tmpfiles.",8.2,phi3:mini
"type=CWD msg=audit(1779747001.360:284): cwd=""/""",INFO,El cambio de directorio al directorio raíz ('/') es común y no representa un riesgo significativo por sí mismo.,5.67,phi3:mini
"type=PATH msg=audit(1779747001.360:284): item=0 name=""/etc/passwd"" inode=1049984 dev=08:02 mode=0100644 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",INFO,"Se registró un acceso legítimo por parte del usuario root a /etc/passwd, que es una acción normal y segura para la auditoría de sistemas.",6.93,phi3:mini
type=PROCTITLE msg=audit(1779747001.360:284): proctitle=73797374656D642D746D7066696C6573002D2D636C65616E,BAJO,"El log muestra el nombre del proceso 'cat' con un proctitle normal, no indica ninguna actividad sospechosa.",6.28,phi3:mini
"type=SYSCALL msg=audit(1779747001.360:285): arch=c000003e syscall=257 success=yes exit=5 a0=ffffff9c a1=7f257e9062ac a2=80000 a3=0 items=1 ppid=1 pid=1257 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm=""systemd-tmpfile"" exe=""/usr/bin/systemd-tmpfiles"" subj=unconfined key=""passwd_changes""ARCH=x86_64 SYSCALL=openat AUID=""unset"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",MEDIO,"El sistema encontró permiso para modificar archivos temporales en /run/user, un comportamiento normalmente esperado por el servicio systemd-tmpfiles. Requiere monitorización pero no indica una violación directa.",9.18,phi3:mini
"type=CWD msg=audit(1779747001.360:285): cwd=""/""",INFO,"Este registro muestra que el usuario se cambió al directorio raíz, lo cual es un comportamiento normal para administradores y no presenta riesgos inmediatos.",6.65,phi3:mini
"type=PATH msg=audit(1779747001.360:285): item=0 name=""/etc/passwd"" inode=1049984 dev=08:02 mode=0100644 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",INFO,La ejecución del shell con permisos de root sobre el archivo /etc/passwd no es inusual ni representa un riesgo significativo para la seguridad.,6.89,phi3:mini
type=PROCTITLE msg=audit(1779747001.360:285): proctitle=73797374656D642D746D7066696C6573002D2D636C65616E,INFO,"No hay riesgos evidentes, solo un proctitle que representa el nombre del directorio actual sin indicación de una acción maliciosa.",6.21,phi3:mini
"type=SYSCALL msg=audit(1779747001.360:286): arch=c000003e syscall=257 success=yes exit=5 a0=ffffff9c a1=7f257e9062ac a2=80000 a3=0 items=1 ppid=1 pid=1257 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm=""systemd-tmpfile"" exe=""/usr/bin/systemd-tmpfiles"" subj=unconfined key=""passwd_changes""ARCH=x86_64 SYSCALL=openat AUID=""unset"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",INFO,"El sistema realizó cambios de archivo confinados para la gestión temporal, lo cual es una operación normal y no presenta riesgo evidente.",7.04,phi3:mini
"type=CWD msg=audit(1779747001.360:286): cwd=""/""",INFO,El cambio de directorio root ('/') es una acción común y no presenta riesgo.,5.12,phi3:mini
"type=PATH msg=audit(1779747001.360:286): item=0 name=""/etc/passwd"" inode=1049984 dev=08:02 mode=0100644 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",INFO,"Se observa una operación normal del archivo /etc/passwd por parte de usuario root, sin indicadores anómalos en los logs.",6.41,phi3:mini
type=PROCTITLE msg=audit(1779747001.360:286): proctitle=73797374656D642D746D7066696C6573002D2D636C65616E,INFO,"La medición de proctitle es común y no indica ninguna actividad sospechosa por sí sola, sin cambios en los permisos ni acceso ilegal.",7.04,phi3:mini
"type=SYSCALL msg=audit(1779747001.360:287): arch=c000003e syscall=257 success=yes exit=5 a0=ffffff9c a1=7f257e9062ac a2=80000 a3=0 items=1 ppid=1 pid=1257 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm=""systemd-tmpfile"" exe=""/usr/bin/systemd-tmpfiles"" subj=unconfined key=""passwd_changes""ARCH=x86_64 SYSCALL=openat AUID=""unset"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",BAJO,"El sistemad-tmpfiles, que gestiona archivos temporales y tiene permisos elevados para escribir en /tmp, ejecutó su comando normalmente como root.",7.84,phi3:mini
"type=CWD msg=audit(1779747001.360:287): cwd=""/""",INFO,El cambio de directorio al root es una operación común y no representa riesgos por sí misma.,5.32,phi3:mini
"type=PATH msg=audit(1779747001.360:287): item=0 name=""/etc/passwd"" inode=1049984 dev=08:02 mode=0100644 ouid=0 ogid=0 rdev=00:00 nametype=NORMAL cap_fp=0 cap_fi=0 cap_fe=0 cap_fver=0 cap_frootid=0OUID=""root"" OGID=""root""",MEDIO,"Acceso al archivo /etc/passwd, aunque por parte del usuario root es normal, cualquier alteración podría comprometer la seguridad si no se controlan los permisos adecuados.",7.53,phi3:mini
type=PROCTITLE msg=audit(1779747001.360:287): proctitle=73797374656D642D746D7066696C6573002D2D636C65616E,MEDIO,"El proctitle indicado sugiere posibles intentos de espiónaje por parte de un atacante que busca inspección del contexto ejecutable, aunque no indica una acción directa maliciosa en el momento presente.",7.86,phi3:mini
"type=SYSCALL msg=audit(1779747001.360:288): arch=c000003e syscall=257 success=yes exit=5 a0=ffffff9c a1=7f257e9062ac a2=80000 a3=0 items=1 ppid=1 pid=1257 auid=4294967295 uid=0 gid=0 euid=0 suid=0 fsuid=0 egid=0 sgid=0 fsgid=0 tty=(none) ses=4294967295 comm=""systemd-tmpfile"" exe=""/usr/bin/systemd-tmpfiles"" subj=unconfined key=""passwd_changes""ARCH=x86_64 SYSCALL=openat AUID=""unset"" UID=""root"" GID=""root"" EUID=""root"" SUID=""root"" FSUID=""root"" EGID=""root"" SGID=""root"" FSGID=""root""",MEDIO,"El sistemad-tmpfile ejecutado por el usuario root para cambios en archivos temporales es normal, aunque la frecuen01e de audit log puede indicar actividad sospechosa o innecesaria.",8.7,phi3:mini
